YEAR,ST,FES,CONP,ELEP,FINCP,FS,FULP,GASP,GRNTP,GRPIP,HINCP,INSP,MHP,MRGP,NOC,NP,NPF,NRC,OCPIP,RNTP,SMOCP,SMP,WATP
2005,50,0,3.863150392,41.52173913,0,53.93585175,354.2266572,24.06272274,130.2216679,7.848182466,21716.62723,209.1575196,78.33499644,126.4290805,0,0.749109052,0,0,13.16108339,137.5908767,308.0370634,10.14255167,57.03920171
2005,51,0,15.19692087,71.58404941,0,28.43600072,130.1378446,32.04206946,272.6907447,12.4877372,38839.17069,276.5800215,26.55066237,293.2593985,0,1.044486216,0,0,15.19826352,270.4104905,474.7360365,26.30057286,167.5999821
2005,53,0,13.88578523,59.31905649,0,47.22356714,77.41806331,20.00879371,271.3688185,14.76794951,36279.67722,283.085868,102.9097869,277.635837,0,1.078626112,0,0,14.92851231,269.3066418,457.7870888,20.56569419,241.8148148
2005,54,0,0.53485064,49.21223329,0,51.65234708,84.34452347,39.32147937,95.01849218,8.13371266,19039.63272,217.6312945,28.91379801,83.90611664,0,0.848364154,0,0,12.10526316,87.96870555,206.1604552,8.236130868,205.0073969
2005,55,0,4.521544488,53.33105764,0,17.08998321,133.0399552,44.22686066,163.5593733,9.971908226,26966.8526,236.1175154,43.21745943,176.0761052,0,0.946950196,0,0,16.16306659,153.9760492,382.6700616,16.31247902,114.8182429
2005,56,0,1.111111111,42.88222222,0,30.25333333,47.46222222,39.10222222,131.8788889,8.47,25361.62,256.8222222,88.83333333,135.1888889,0,0.9,0,0,11.62444444,124.6,263.2722222,7.366666667,164.81
2005,1,1,0.48594465,151.3386359,85100.00676,59.42405753,41.29439965,46.62170407,68.9912835,2.084985836,85180.93942,704.1521029,22.8154282,598.4658967,0.848550883,3.158204402,3.145129658,0.897581172,14.67008063,50.78012639,913.5079538,61.22248856,350.6746568
2005,2,1,5.437788018,114.8402458,97369.28571,236.4669739,597.4101382,51.0906298,188.4454685,4.055299539,98178.5023,691.437788,17.58832565,792.5960061,1.150537634,3.497695853,3.448540707,1.192012289,14.55145929,164.0092166,1125.907834,52.13517665,332.3963134
2005,4,1,2.901139287,149.5872841,95522.32194,61.25413451,29.61484748,32.7954796,114.4790518,3.174384417,95832.92834,622.0962881,45.44285189,903.5262771,0.933480338,3.296582139,3.270305035,0.998529952,18.14884234,94.25395075,1250.857038,89.15178243,521.3467475
2005,5,1,1.291666667,138.8552083,75142.09236,72.17465278,67.02604167,59.47569444,70.25798611,2.404861111,75272.06806,635.5326389,22.84930556,499.5569444,0.878472222,3.160763889,3.139930556,0.922569444,14.23298611,48.59722222,795.2930556,32.75,379.084375
2005,6,1,12.68841897,112.8086945,114634.4946,28.72363091,38.69026887,50.49794278,254.2200108,5.795840908,115088.2039,762.385928,44.76222371,1236.70679,0.977833062,3.47261825,3.43721494,1.039485855,20.71948458,229.0141294,1764.051861,127.1655663,484.4398622
2005,8,1,6.234385724,101.4363418,97970.79375,32.03431709,61.35689774,72.4787234,98.54873027,2.631777625,98091.16266,778.1441318,51.87748799,1032.744338,0.879547014,3.146362388,3.129890185,0.916781057,20.06022649,83.24982841,1409.94801,111.9660261,420.6710707
2005,9,1,8.684984334,136.3094722,128037.1499,14.70739937,918.1258134,52.7934442,117.0012051,2.416244878,128346.4847,817.0383225,4.590021692,1196.561581,0.890817064,3.237888648,3.220053025,0.917570499,19.65341046,98.63581586,1761.787178,110.5770065,247.7334297
2005,10,1,3.958090803,139.2130384,106126.6589,21.57159488,233.8754366,70.70663562,89.61001164,1.932479627,106249.4529,478.7543655,106.7566938,868.0442375,0.918509895,3.215366705,3.202561118,0.948777648,16.83934808,71.61816065,1271.23865,107.9045402,334.8055879
2005,11,1,44.36813187,97.72802198,181549.8242,37.3489011,48.30769231,92.04945055,315.0879121,6.403846154,182246.5275,885.1483516,0,1333.956044,0.629120879,2.85989011,2.826923077,0.667582418,14.08791209,293.1593407,1834.598901,120.521978,337.9945055
2005,12,1,15.12570159,174.4807063,94873.53268,48.99333489,16.51718896,12.89481993,134.5302853,3.613482226,95054.00859,1142.356408,46.04104303,877.4893592,0.826414874,3.169609448,3.151368101,0.871667446,19.32974743,113.2974743,1305.824427,90.11202058,433.3412652
2005,13,1,3.440101148,147.1378148,94864.61943,43.10062164,48.86745338,67.27794753,99.10030555,2.64376778,95021.33843,600.0733326,29.84890949,817.8895796,0.903382152,3.215783374,3.200189653,0.947845327,16.99462649,76.99757665,1197.779686,83.27868507,339.1936571
2005,15,1,34.99070161,146.114962,104237.5799,78.53254438,3.451394759,16.65595943,315.3524937,6.447168216,105167.191,733.964497,0.10989011,1020.008453,0.938292477,3.587489434,3.534234996,1.049027895,17.03381234,281.0566357,1390.743872,127.7937447,454.1775148
2005,16,1,0.191415313,90.24593968,73067.19432,45.28132251,109.6977958,47.85846868,90.10672854,2.943155452,73232.37413,485.6403712,46.73317865,634.6774942,0.987238979,3.25638051,3.232018561,1.025522042,17.26450116,74.39095128,922.7917633,65.81206497,302.5951276
2005,17,1,11.26924719,110.1802334,99601.89142,40.82773588,57.68720649,97.68934111,80.47758645,2.175750676,99730.6512,636.0046962,22.57663299,847.4055785,0.95232674,3.308880034,3.293866515,0.989184574,18.88487263,65.76419525,1358.299915,75.44670556,362.4405863
2005,18,1,1.067325675,113.7196099,84235.78133,40.48677531,85.76489447,82.3302164,63.03045685,1.991183543,84310.82006,658.7312316,27.40021373,664.8001603,0.924258616,3.219075608,3.20277852,0.965535667,16.6998397,47.83729629,1034.089367,71.78413038,341.5868287
2005,19,1,1.1155706,121.7744197,76478.97389,28.25169246,98.24395551,78.91247582,47.00628627,1.359042553,76512.74565,601.8384913,26.67069632,524.9695358,0.948742747,3.168520309,3.15401354,0.968810445,16.09526112,32.82253385,907.6878627,58.2229207,387.0836557
2005,20,1,0.649350649,118.6275214,82343.43603,24.46200608,73.24785852,80.17712075,63.34457032,1.97596021,82470.45178,810.5283227,28.79303675,611.3815971,0.925670075,3.202265819,3.179054988,0.9615916,15.92705167,46.35810998,971.2522796,53.66786405,405.0013816
2005,21,1,1.71957672,118.6421958,82347.4526,51.20502646,66.62433862,51.72222222,64.31768078,2.234567901,82452.92218,640.5524691,29.664903,614.9775132,0.856040564,3.147045855,3.130952381,0.893518519,15.70656966,48.89991182,949.712963,70.08641975,381.1417549
2005,22,1,0.745116952,171.8189052,86584.96238,127.0513624,23.46660236,39.50614902,69.66698818,2.276344345,86716.89245,892.4687726,30.42054497,574.7369183,0.887388474,3.241138172,3.218471184,0.945985049,14.41644562,49.86496262,907.8029901,55.49795033,347.2445141
2005,23,1,1.044973545,103.3531746,78815.33267,55.50330688,980.5912698,28.78439153,59.12301587,1.712301587,79057.51521,535.542328,47.76984127,608.7169312,0.734126984,3.013227513,2.992063492,0.760582011,17.42063492,47.46031746,1009.497354,61.37830688,154.7486772
2005,24,1,7.052615241,141.2624554,121663.4122,10.74406332,203.5424492,60.33090175,117.5399659,2.445755083,122051.2711,704.5488127,15.33974856,1214.695018,0.904081949,3.269439702,3.24460655,0.943659786,18.4418749,101.7957473,1645.95142,118.8536396,312.0496663
2005,25,1,12.78632711,115.6117391,118155.2626,10.3773662,688.2873485,82.46534114,126.0292796,2.677107449,118416.8709,744.2878932,4.343456353,1144.424077,0.93190794,3.300830723,3.282854419,0.9596895,19.85646194,109.526624,1683.631213,101.8695356,390.1281493
2005,26,1,3.892379083,99.20881671,90239.13653,42.36248438,152.8077815,100.7230055,50.02302338,1.548366946,90385.35731,723.0394432,61.0878101,773.1665179,0.956273425,3.271015527,3.25298947,0.985721935,18.88702481,39.42352311,1221.356505,77.74460111,256.2521863
2005,27,1,2.689550593,112.8862696,89530.52619,17.30783016,187.079818,84.41811414,35.72029225,1.027846705,89700.69024,830.7893576,26.75544527,811.4943479,0.9681555,3.23490488,3.217810863,0.994210091,19.22939068,29.54783568,1233.84381,86.19023987,216.1994762
2005,28,1,0.923753666,153.3519062,78278.23204,66.96627566,44.51099707,53.72324047,71.06451613,2.140029326,78379.82661,743.1546921,35.50073314,525.6612903,0.865102639,3.210777126,3.196480938,0.928519062,14.92521994,51.44061584,841.7173754,39.42228739,329.6594575
2005,29,1,1.543985637,115.2610712,82977.52095,55.8165769,72.70661281,70.15694195,63.96169958,1.96154997,83149.7313,685.7318971,28.90305206,650.5397965,0.899311789,3.192100539,3.173847995,0.940754039,16.23189707,46.5625374,976.3607121,52.09904249,341.7296529
2005,30,1,0.746781116,97.61459227,70185.80086,59.36652361,129.7759657,64.9193133,73.70729614,2.349356223,70327.60343,631.8145923,72.78454936,521.5879828,0.860085837,3.058369099,3.046351931,0.88583691,16.62918455,57.29613734,833.7811159,51.31330472,242.0446352
2005,31,1,0.689102564,113.75,75317.79046,15.98557692,82.63581731,73.81009615,68.64503205,2.032451923,75414.78165,707.5104167,12.68028846,550.5625,0.953125,3.195512821,3.178285256,0.980769231,16.23918269,49.75961538,902.7548077,47.63221154,263.6258013
2005,32,1,5.384615385,142.0559058,92754.90458,35.91004624,55.66078184,60.0714586,197.6448087,4.865910046,93287.30475,566.1445986,55.03993274,981.5678857,0.890710383,3.281630937,3.24506095,0.951240017,19.57082808,165.6031946,1344.352249,100.2749054,388.0655738
2005,33,1,7.574588769,115.8389109,96455.95065,20.26488939,867.8349404,61.22518434,90.78162223,2.024957459,96740.08565,603.036869,66.38116846,890.8394782,0.905842314,3.21440726,3.195689166,0.934770278,20.14350539,76.56267725,1442.396483,81.03460011,165.1219512
2005,34,1,14.57255824,145.0556743,127821.8202,17.01068604,280.9274418,102.6015174,134.7918359,2.857127591,128059.2865,686.1547339,9.681342167,1266.929045,0.956080359,3.375187006,3.359692242,0.984932678,20.87946142,117.4438983,1894.533127,114.8463347,413.794828
2005,35,1,0.797752809,90.99494382,83487.77079,42.07808989,86.00674157,67.27359551,90.19382022,2.638202247,83640.01798,562.594382,86.25280899,644.258427,0.875280899,3.182022472,3.16011236,0.930337079,15.47865169,71.97191011,931.8146067,53.2752809,407.8853933
2005,36,1,18.05922346,139.3217396,111346.8168,39.78080575,496.5832444,85.67977749,191.8480643,3.968477833,111639.4066,693.4359724,26.11563747,904.9291454,0.938472776,3.348598078,3.326796651,0.969545429,18.26212283,168.7110187,1445.256729,82.83115132,241.6077991
2005,37,1,2.475805616,143.9430111,87747.1004,35.17490416,97.94394363,50.19977204,87.50388561,2.548855041,87851.49725,584.639312,53.20795772,707.0885919,0.835975547,3.107450005,3.093047353,0.876903948,16.7001347,67.07076987,1065.980313,80.52409077,288.2780023
2005,38,1,0.274551214,112.7719113,77190.05808,33.6969377,176.3769799,67.24815206,43.63674762,1.213305174,77251.30412,641.4783527,36.49841605,440.4012672,0.954593453,3.190073918,3.174234424,0.973600845,14.47940866,29.88384372,778.1541711,35.38542767,379.8046463
2005,39,1,3.157600061,114.2895513,87870.49043,39.59090565,109.6766286,93.96285087,69.44745404,2.065975637,87968.09458,574.8927896,24.03752743,718.0145267,0.900052962,3.218809109,3.203450102,0.93811001,17.56654309,52.27056064,1136.353938,77.2698797,381.2705606
2005,40,1,0.396226415,135.0665768,77522.55741,78.87816712,58.32614555,62.9574124,74.29137466,2.48328841,77625.88895,824.5180593,20.50242588,526.2371968,0.88328841,3.180862534,3.162803235,0.932075472,15.12291105,51.83396226,839.658221,40.10350404,370.8444744
2005,41,1,1.277848912,99.57362356,85614.57926,59.69628681,111.3167734,45.61357234,128.565685,3.809987196,85937.76492,517.53137,77.53444302,806.5352113,0.858386684,3.166197183,3.135211268,0.902432778,18.79871959,106.8425096,1171.987196,83.93956466,402.9541613
2005,42,1,2.583511016,119.0400853,89056.16873,27.65785359,396.2877043,69.6286425,61.73916134,1.626652452,89196.52409,573.6264392,34.38365316,704.1294954,0.872139303,3.210234542,3.194882729,0.901421464,17.93852168,47.82231699,1168.161052,86.38024165,358.3195451
2005,44,1,4.30781759,105.6245928,102938.6914,48.37459283,659.2345277,78.06270358,117.2687296,2.781758958,103104.3184,697.6465798,28.50162866,954.495114,0.915309446,3.274429967,3.254885993,0.945439739,19.5276873,97.55700326,1472.92671,93.70521173,318.8672638
2005,45,1,2.383219955,152.7249433,84765.66553,47.20385488,45.84217687,38.14920635,77.94807256,2.318367347,84903.76304,693.8108844,38.44807256,681.6190476,0.854648526,3.138095238,3.120408163,0.895011338,16.24421769,59.38639456,1027.483673,72.9723356,344.0562358
2005,46,1,0.065237651,113.111836,72758.35881,57.08574091,174.7315937,72.25722274,42.19571295,1.352283318,72883.32619,618.8723206,36.23858341,486.7381174,0.991612302,3.200372787,3.191053122,1.013979497,15.92451072,29.64958062,845.4380242,50.49767008,373.5433364
2005,47,1,1.449783013,135.5881897,83741.36159,61.08400496,49.73512089,47.38577185,72.9449783,2.272318661,83859.24907,639.5592064,26.70892746,654.3254805,0.827805332,3.134841909,3.117947923,0.880657161,15.85973342,56.69559826,978.0099194,56.99442033,333.3068816
2005,48,1,2.337815793,185.4940258,92552.34394,75.86640801,28.71037432,39.1395882,111.9900357,3.38005379,92690.66677,945.9835986,39.96234734,694.8583396,0.959525594,3.312199638,3.294696001,1.0189586,16.73435916,86.43110974,1141.120012,36.16013403,501.0403862
2005,49,1,3.191956124,83.0691042,78158.92761,40.0511883,42.72431444,68.47787934,105.406947,3.556124314,78420.09031,458.7473492,16.27568556,745.250457,1.227422303,3.642413163,3.619012797,1.284826325,17.87751371,88.4095064,1040.851554,75.50639854,393.0186472
2005,50,1,4.765906363,109.0612245,90070.91236,27.86914766,850.5546218,53.73589436,62.09123649,1.776710684,90235.01801,638.7515006,75.51260504,636.422569,0.81272509,3.066026411,3.052821128,0.839135654,19.03721489,49.59183673,1193.240096,64.50180072,141.8115246
2005,51,1,5.842918555,138.5048217,108612.2361,23.73184617,135.7190659,59.9272685,123.1355873,2.644010689,108858.4322,634.2286511,18.36203091,1053.560358,0.872313233,3.174160567,3.158010921,0.906122923,17.85767399,104.0095271,1450.754154,112.595097,338.9453933
2005,53,1,3.671156662,104.9951684,96569.10205,48.26983895,106.2380673,45.34084919,121.5592972,3.272620791,96817.29531,646.2849195,54.52679356,968.927672,0.88272328,3.184333821,3.160029283,0.918740849,18.75431918,104.4978038,1355.188726,96.01669107,471.9035139
2005,54,1,0.047619048,106.439881,76713.57024,62.20297619,106.55,66.24285714,51.46607143,1.88452381,76852.52262,556.6785714,31.0297619,452.702381,0.797619048,3.095833333,3.07797619,0.825,13.68095238,35.91071429,762.8738095,47.86309524,450.8559524
2005,55,1,1.337522442,115.3339318,84025.54835,11.73813798,193.1765837,80.49538343,51.89484483,1.439215183,84154.21954,572.3824057,28.13977943,715.1549115,0.924339574,3.191844063,3.179404976,0.95101308,19.80559118,40.14362657,1215.207746,82.61502949,224.7251859
2005,56,1,0.382352941,92.16764706,80809.50441,55.65,96.98970588,72.80735294,74.67647059,2.089705882,80951.12206,620.0794118,93.77058824,546.9117647,0.805882353,3.063235294,3.047058824,0.860294118,14.44411765,58.36764706,848.6088235,55.92647059,355.6367647
2005,1,2,1.347280335,152.7230126,76464.37448,86.25146444,45.87824268,48.31548117,90.81799163,3.705439331,76534.95607,705.1866109,31.83682008,487.2259414,0.90167364,3.20083682,3.186610879,0.963179916,16.29623431,67.48535565,799.5238494,43.63179916,362.1686192
